Month,Passengers_Stationary_2
1949-03,8
1949-04,-17
1949-05,-5
1949-06,22
1949-07,-1
1949-08,-13
1949-09,-12
1949-10,-5
1949-11,2
1949-12,29
1950-01,-17
1950-02,14
1950-03,4
1950-04,-21
1950-05,-4
1950-06,34
1950-07,-3
1950-08,-21
1950-09,-12
1950-10,-13
1950-11,6
1950-12,45
1951-01,-21
1951-02,0
1951-03,23
1951-04,-43
1951-05,24
1951-06,-3
1951-07,15
1951-08,-21
1951-09,-15
1951-10,-7
1951-11,6
1951-12,36
1952-01,-15
1952-02,4
1952-03,4
1952-04,-25
1952-05,14
1952-06,33
1952-07,-23
1952-08,0
1952-09,-45
1952-10,15
1952-11,-1
1952-12,41
1953-01,-20
1953-02,-2
1953-03,40
1953-04,-41
1953-05,-5
1953-06,20
1953-07,7
1953-08,-13
1953-09,-43
1953-10,9
1953-11,-5
1953-12,52
1954-01,-18
1954-02,-19
1954-03,63
1954-04,-55
1954-05,15
1954-06,23
1954-07,8
1954-08,-47
1954-09,-25
1954-10,4
1954-11,4
1954-12,52
1955-01,-13
1955-02,-22
1955-03,43
1955-04,-32
1955-05,-1
1955-06,44
1955-07,4
1955-08,-66
1955-09,-18
1955-10,-3
1955-11,1
1955-12,78
1956-01,-35
1956-02,-13
1956-03,47
1956-04,-44
1956-05,9
1956-06,51
1956-07,-17
1956-08,-47
1956-09,-42
1956-10,1
1956-11,14
1956-12,70
1957-01,-26
1957-02,-23
1957-03,69
1957-04,-63
1957-05,15
1957-06,60
1957-07,-24
1957-08,-41
1957-09,-65
1957-10,6
1957-11,15
1957-12,73
1958-01,-27
1958-02,-26
1958-03,66
1958-04,-58
1958-05,29
1958-06,57
1958-07,-16
1958-08,-42
1958-09,-115
1958-10,56
1958-11,-4
1958-12,76
1959-01,-4
1959-02,-41
1959-03,82
1959-04,-74
1959-05,34
1959-06,28
1959-07,24
1959-08,-65
1959-09,-107
1959-10,40
1959-11,11
1959-12,88
1960-01,-31
1960-02,-38
1960-03,54
1960-04,14
1960-05,-31
1960-06,52
1960-07,24
1960-08,-103
1960-09,-82
1960-10,51
1960-11,-24
1960-12,113
